_id,TURU,KURTARMA TURU,BILDIRIM TARIHI,MAHALLE
26,KURTARMA,Diğer Kurtarmalar,11.09.2024,MÜCAHITLER
27,KURTARMA,İntihar,15.09.2024,EYDIBABA
28,KURTARMA,İntihar,13.09.2024,MÜCAHITLER
29,KURTARMA,İntihar,18.09.2024,KARAGÖZ
30,KURTARMA,İntihar,5.08.2024,BASPINAR(ORGANIZE)OSB
31,KURTARMA,Kapalı Alanda Mahsur Kalma,9.06.2024,FISTIKLIK
32,KURTARMA,Kapalı Alanda Mahsur Kalma,7.06.2024,KAHVELIPINAR
33,KURTARMA,Kapalı Alanda Mahsur Kalma,8.06.2024,CUMHURIYET
34,KURTARMA,Kapalı Alanda Mahsur Kalma,10.06.2024,BURAK
35,KURTARMA,Kapalı Alanda Mahsur Kalma,11.06.2024,25 ARALIK
36,KURTARMA,Kapalı Alanda Mahsur Kalma,11.06.2024,SERINEVLER
37,KURTARMA,Kapalı Alanda Mahsur Kalma,5.06.2024,BOYNO
38,KURTARMA,Diğer Kurtarmalar,10.06.2024,15 TEMMUZ
39,KURTARMA,Diğer Kurtarmalar,8.06.2024,BEY
40,KURTARMA,Diğer Kurtarmalar,7.06.2024,60.YIL
41,KURTARMA,Diğer Kurtarmalar,9.06.2024,FATIH SULTAN
42,KURTARMA,Diğer Kurtarmalar,13.06.2024,IBN-I SINA
43,KURTARMA,Diğer Kurtarmalar,4.08.2024,PERILIKAYA
44,KURTARMA,Diğer Kurtarmalar,3.08.2024,TEKSTILKENT
45,KURTARMA,Diğer Kurtarmalar,5.08.2024,PIRSULTAN
46,KURTARMA,Diğer Kurtarmalar,6.08.2024,ERENLER
47,KURTARMA,Diğer Kurtarmalar,7.08.2024,TEKSTILKENT
48,KURTARMA,Asansörde Mahsur Kalma,6.02.2024,BELKIZ
49,KURTARMA,Asansörde Mahsur Kalma,4.02.2024,MÜCAHITLER
50,KURTARMA,Asansörde Mahsur Kalma,12.09.2024,MÜCAHITLER
51,KURTARMA,Asansörde Mahsur Kalma,14.09.2024,DEGIRMIÇEM
52,KURTARMA,Asansörde Mahsur Kalma,15.09.2024,OSMANGAZI
53,KURTARMA,Asansörde Mahsur Kalma,15.09.2024,FISTIKLIK
54,KURTARMA,Asansörde Mahsur Kalma,14.09.2024,GAZIKENT
55,KURTARMA,Asansörde Mahsur Kalma,14.09.2024,75.YIL
56,KURTARMA,Asansörde Mahsur Kalma,18.09.2024,SIRINEVLER
57,KURTARMA,Asansörde Mahsur Kalma,18.09.2024,SACIR
58,KURTARMA,Asansörde Mahsur Kalma,19.09.2024,FISTIKLIK
59,KURTARMA,Asansörde Mahsur Kalma,19.09.2024,BELKIZ
60,KURTARMA,Kapalı Alanda Mahsur Kalma,17.09.2024,ISTIKLAL
61,KURTARMA,Kapalı Alanda Mahsur Kalma,16.09.2024,BINEVLER
62,KURTARMA,Kapalı Alanda Mahsur Kalma,14.09.2024,PIRSULTAN
63,KURTARMA,Kapalı Alanda Mahsur Kalma,13.09.2024,KARSIYAKA
64,KURTARMA,Kapalı Alanda Mahsur Kalma,13.09.2024,ÇAMLITEPE
65,KURTARMA,Kapalı Alanda Mahsur Kalma,14.09.2024,ATATÜRK
66,KURTARMA,Kapalı Alanda Mahsur Kalma,12.09.2024,FATIH SULTAN
67,KURTARMA,Kapalı Alanda Mahsur Kalma,12.09.2024,MIMAR SINAN
68,KURTARMA,Kapalı Alanda Mahsur Kalma,19.09.2024,YESILEVLER
69,KURTARMA,Kapalı Alanda Mahsur Kalma,10.09.2024,ERTUGRULGAZI
70,KURTARMA,Kapalı Alanda Mahsur Kalma,10.09.2024,KARATAS
71,KURTARMA,Kapalı Alanda Mahsur Kalma,12.09.2024,SERINEVLER
72,KURTARMA,Kapalı Alanda Mahsur Kalma,3.02.2024,BEKIRBEY
73,KURTARMA,Kapalı Alanda Mahsur Kalma,2.02.2024,BELKIZ
74,KURTARMA,Kapalı Alanda Mahsur Kalma,3.02.2024,BELKIZ
75,KURTARMA,Kapalı Alanda Mahsur Kalma,4.02.2024,YEDITEPE
76,KURTARMA,Kapalı Alanda Mahsur Kalma,8.02.2024,SELAHATTIN EYYUBI
77,KURTARMA,Trafik Kazası,4.08.2024,OLUCAK
78,KURTARMA,Kapı Açma,1.02.2024,GÜZELVADI
79,KURTARMA,Hayvan Kurtarma,3.08.2024,SAMANDÖKEN
80,KURTARMA,Hayvan Kurtarma,11.06.2024,SANAYI
81,KURTARMA,Hayvan Kurtarma,11.06.2024,SANAYI
82,KURTARMA,Hayvan Kurtarma,13.06.2024,SEYRANTEPE
83,KURTARMA,Hayvan Kurtarma,12.06.2024,SAHINTEPE
84,KURTARMA,Hayvan Kurtarma,13.06.2024,MEVLANA
85,KURTARMA,Hayvan Kurtarma,5.06.2024,BATIKENT
86,KURTARMA,Hayvan Kurtarma,13.06.2024,15 TEMMUZ
87,KURTARMA,Hayvan Kurtarma,12.06.2024,YAPRAK
88,KURTARMA,Hayvan Kurtarma,12.06.2024,ONAT KUTLAR
89,KURTARMA,Hayvan Kurtarma,12.06.2024,ISTIKLAL
90,KURTARMA,Hayvan Kurtarma,11.06.2024,BEYDILLI
91,KURTARMA,Hayvan Kurtarma,11.06.2024,EYÜPSULTAN
92,KURTARMA,Hayvan Kurtarma,11.06.2024,ABDÜLHAMID HAN
93,KURTARMA,Hayvan Kurtarma,11.06.2024,DEGIRMIÇEM
94,KURTARMA,Hayvan Kurtarma,9.06.2024,FEVZI ÇAKMAK
95,KURTARMA,Hayvan Kurtarma,9.06.2024,TÜRKTEPE
96,KURTARMA,Hayvan Kurtarma,9.06.2024,BARAK
97,KURTARMA,Hayvan Kurtarma,10.06.2024,IBN-I SINA
98,KURTARMA,Hayvan Kurtarma,7.06.2024,ULAS
99,KURTARMA,Hayvan Kurtarma,8.06.2024,BÜLBÜLZADE
100,KURTARMA,Hayvan Kurtarma,8.06.2024,ATATÜRK
101,KURTARMA,Hayvan Kurtarma,7.06.2024,EYÜPSULTAN
102,KURTARMA,Hayvan Kurtarma,10.06.2024,AKKENT
103,KURTARMA,Hayvan Kurtarma,10.06.2024,KURBANBABA
104,KURTARMA,Hayvan Kurtarma,10.06.2024,FIDANLIK
105,KURTARMA,Hayvan Kurtarma,10.06.2024,KARACAAHMET
106,KURTARMA,Hayvan Kurtarma,10.06.2024,YAPRAK
107,KURTARMA,Hayvan Kurtarma,9.06.2024,YEDITEPE
108,KURTARMA,Hayvan Kurtarma,7.06.2024,KARSIYAKA
109,KURTARMA,Hayvan Kurtarma,8.07.2024,SERINEVLER
110,KURTARMA,Hayvan Kurtarma,2.02.2024,ONAT KUTLAR
111,KURTARMA,Hayvan Kurtarma,1.02.2024,ATMALI
112,KURTARMA,Hayvan Kurtarma,1.02.2024,KONAK
113,KURTARMA,Hayvan Kurtarma,18.09.2024,BINEVLER
114,KURTARMA,Hayvan Kurtarma,16.09.2024,ALIBABA
115,KURTARMA,Hayvan Kurtarma,16.09.2024,TEKSTILKENT
116,KURTARMA,Hayvan Kurtarma,16.09.2024,NARLITEPE
117,KURTARMA,Hayvan Kurtarma,16.09.2024,BARAK
118,KURTARMA,Hayvan Kurtarma,15.09.2024,KARSIYAKA
119,KURTARMA,Hayvan Kurtarma,16.09.2024,ÖGRETMENEVLERI
120,KURTARMA,Hayvan Kurtarma,16.09.2024,15 TEMMUZ
121,KURTARMA,Hayvan Kurtarma,18.09.2024,ATATÜRK
122,KURTARMA,Hayvan Kurtarma,15.09.2024,KARSIYAKA
123,KURTARMA,Hayvan Kurtarma,18.09.2024,MERVESEHIR
124,KURTARMA,Hayvan Kurtarma,18.09.2024,KARSIYAKA
125,KURTARMA,Hayvan Kurtarma,13.09.2024,DEGIRMIÇEM
126,KURTARMA,Hayvan Kurtarma,13.09.2024,SACIR
127,KURTARMA,Hayvan Kurtarma,14.09.2024,TEKSTILKENT
128,KURTARMA,Hayvan Kurtarma,12.09.2024,EYÜPSULTAN
129,KURTARMA,Hayvan Kurtarma,13.09.2024,YEDITEPE
130,KURTARMA,Hayvan Kurtarma,12.09.2024,ATATÜRK
131,KURTARMA,Hayvan Kurtarma,14.09.2024,GÜLPINAR
132,KURTARMA,Hayvan Kurtarma,14.09.2024,TEKSTILKENT
133,KURTARMA,Hayvan Kurtarma,14.09.2024,EYÜPSULTAN
134,KURTARMA,Hayvan Kurtarma,15.09.2024,ZEYTINLI
135,KURTARMA,Hayvan Kurtarma,15.09.2024,ÖGRETMENEVLERI
136,KURTARMA,Hayvan Kurtarma,15.09.2024,SARISALKIM
137,KURTARMA,Hayvan Kurtarma,15.09.2024,BELKIZ
138,KURTARMA,Hayvan Kurtarma,10.09.2024,BAHÇELIEVLER
139,KURTARMA,Hayvan Kurtarma,12.09.2024,FIRAT
140,KURTARMA,Hayvan Kurtarma,12.09.2024,KONAK
141,KURTARMA,Hayvan Kurtarma,12.09.2024,SAHA
142,KURTARMA,Hayvan Kurtarma,12.09.2024,ALAYBEY
143,KURTARMA,Hayvan Kurtarma,12.09.2024,SANAYI
144,KURTARMA,Hayvan Kurtarma,12.09.2024,ÖGRETMENEVLERI
145,KURTARMA,Hayvan Kurtarma,11.09.2024,15 TEMMUZ
146,KURTARMA,Hayvan Kurtarma,10.09.2024,GÜNEYKENT
147,KURTARMA,Hayvan Kurtarma,11.09.2024,SIRINEVLER
148,KURTARMA,Hayvan Kurtarma,10.09.2024,SIRINEVLER
149,KURTARMA,Hayvan Kurtarma,19.10.2024,BARAK
150,KURTARMA,Hayvan Kurtarma,5.02.2024,MERVESEHIR
151,KURTARMA,Hayvan Kurtarma,3.02.2024,KONAK
152,KURTARMA,Hayvan Kurtarma,4.08.2024,GÜMÜSTEKIN
153,KURTARMA,Hayvan Kurtarma,8.08.2024,PERILIKAYA
154,KURTARMA,Hayvan Kurtarma,8.08.2024,ALLEBEN
155,KURTARMA,Hayvan Kurtarma,8.08.2024,GÜVENEVLER
156,KURTARMA,Hayvan Kurtarma,8.08.2024,ABDÜLHAMID HAN
157,KURTARMA,Hayvan Kurtarma,7.08.2024,SERIF PERI
158,KURTARMA,Hayvan Kurtarma,7.08.2024,CENGIZ TOPEL
159,KURTARMA,Hayvan Kurtarma,7.08.2024,BESTEPE
160,KURTARMA,Hayvan Kurtarma,7.08.2024,BAGLARBASI
161,KURTARMA,Hayvan Kurtarma,8.08.2024,AYDINBABA
162,KURTARMA,Hayvan Kurtarma,7.08.2024,KARACAAHMET
163,KURTARMA,Hayvan Kurtarma,6.08.2024,BEYLERBEYI
164,KURTARMA,Hayvan Kurtarma,5.08.2024,15 TEMMUZ
165,KURTARMA,Hayvan Kurtarma,6.08.2024,DÜZTEPE
166,KURTARMA,Hayvan Kurtarma,6.08.2024,KAYAÖNÜ
167,KURTARMA,Hayvan Kurtarma,6.08.2024,INCEYOL
168,KURTARMA,Hayvan Kurtarma,6.08.2024,KARATAS
169,KURTARMA,Hayvan Kurtarma,3.08.2024,INÖNÜ
170,KURTARMA,Hayvan Kurtarma,4.08.2024,FIRAT
171,KURTARMA,Hayvan Kurtarma,4.08.2024,GÜVENEVLER
172,KURTARMA,Hayvan Kurtarma,2.08.2024,BÜLBÜLZADE
173,KURTARMA,Hayvan Kurtarma,2.08.2024,BÜLBÜLZADE
174,KURTARMA,Hayvan Kurtarma,4.08.2024,GAZIKENT
175,KURTARMA,Hayvan Kurtarma,2.08.2024,BINEVLER
176,KURTARMA,Hayvan Kurtarma,2.08.2024,DEGIRMIÇEM
177,KURTARMA,Hayvan Kurtarma,2.08.2024,OCAKLAR
178,KURTARMA,Hayvan Kurtarma,3.08.2024,HACIBABA
179,KURTARMA,Hayvan Kurtarma,8.04.2024,DEGIRMIÇEM
180,KURTARMA,Hayvan Kurtarma,17.04.2024,GÜNES
181,KURTARMA,Hayvan Kurtarma,14.04.2024,ONAT KUTLAR
182,KURTARMA,Hayvan Kurtarma,15.04.2024,BINEVLER
183,KURTARMA,Hayvan Kurtarma,15.04.2024,ÇAMTEPE
184,KURTARMA,Kapalı Alanda Mahsur Kalma,9.06.2024,AYDINLIK
185,KURTARMA,Sel/Su Baskını,5.08.2024,SEYRANTEPE
186,KURTARMA,Sel/Su Baskını,12.04.2024,PANCARLI
187,KURTARMA,Diğer Görevler,20.04.2024,CEVDETPASA
188,KURTARMA,Diğer Görevler,8.02.2024,CEVDETPASA
189,KURTARMA,Diğer Görevler,6.01.2024,KOLEJTEPE
190,KURTARMA,Diğer Görevler,11.01.2024,BELKIS
191,KURTARMA,Hayvan Kurtarma,6.02.2024,DUMLUPINAR
192,KURTARMA,Kapalı Alanda Mahsur Kalma,6.10.2024,SANAYI
193,KURTARMA,Kapalı Alanda Mahsur Kalma,3.04.2024,BELKIZ
194,KURTARMA,Kapı Açma,15.09.2024,ALAYBEY
195,KURTARMA,Diğer Görevler,23.11.2024,TEKSTILKENT
196,KURTARMA,Hayvan Kurtarma,26.07.2024,CENGIZ TOPEL
197,KURTARMA,Diğer Kurtarmalar,6.09.2024,TEKSTILKENT
198,KURTARMA,Hayvan Kurtarma,1.08.2024,TÜRKTEPE
199,KURTARMA,Hayvan Kurtarma,1.08.2024,KARAYILAN
200,KURTARMA,Kapı Açma,1.08.2024,KILINÇOGLU
201,KURTARMA,Hayvan Kurtarma,22.07.2024,DEGIRMIÇEM
202,KURTARMA,Hayvan Kurtarma,17.07.2024,YAPRAK
203,KURTARMA,Hayvan Kurtarma,17.07.2024,AKBULUT
204,KURTARMA,Hayvan Kurtarma,20.07.2024,SELAHATTIN EYYUBI
205,KURTARMA,Kapalı Alanda Mahsur Kalma,3.12.2024,ÜNALDI
206,KURTARMA,Kapalı Alanda Mahsur Kalma,18.10.2024,DEGIRMIÇEM
207,KURTARMA,Kapalı Alanda Mahsur Kalma,8.11.2024,MALAZGIRT
208,KURTARMA,Kapalı Alanda Mahsur Kalma,21.10.2024,29 EKIM
209,KURTARMA,Asansörde Mahsur Kalma,20.11.2024,SACIR
210,KURTARMA,Asansörde Mahsur Kalma,15.10.2024,SACIR
211,KURTARMA,Asansörde Mahsur Kalma,12.10.2024,SACIR
212,KURTARMA,Diğer Kurtarmalar,21.10.2024,PERILIKAYA
213,KURTARMA,İntihar,20.06.2024,ÇIKSORUT
214,KURTARMA,İntihar,1.08.2024,YAPRAK
215,KURTARMA,Asansörde Mahsur Kalma,2.07.2024,GÖLLÜCE
216,KURTARMA,Asansörde Mahsur Kalma,14.07.2024,ALAYBEY
217,KURTARMA,İntihar,15.10.2024,29 EKIM
218,KURTARMA,İntihar,20.11.2024,ÜÇOKLAR
219,KURTARMA,İntihar,9.09.2024,BARAK
220,KURTARMA,Diğer Kurtarmalar,6.09.2024,PERILIKAYA
221,KURTARMA,Hayvan Kurtarma,20.11.2024,BARAK
222,KURTARMA,Hayvan Kurtarma,14.11.2024,TÜRKTEPE
223,KURTARMA,Hayvan Kurtarma,14.11.2024,OCAKLAR
224,KURTARMA,Hayvan Kurtarma,24.10.2024,DEGIRMIÇEM
225,KURTARMA,Hayvan Kurtarma,24.10.2024,25 ARALIK
226,KURTARMA,Hayvan Kurtarma,20.11.2024,VATAN
227,KURTARMA,Hayvan Kurtarma,5.12.2024,29 EKIM
228,KURTARMA,Hayvan Kurtarma,5.12.2024,VATAN
229,KURTARMA,Hayvan Kurtarma,5.07.2024,KARAGÖZ
230,KURTARMA,Hayvan Kurtarma,2.07.2024,MALAZGIRT
231,KURTARMA,Hayvan Kurtarma,18.10.2024,SERINEVLER
232,KURTARMA,Hayvan Kurtarma,18.10.2024,FIRAT
233,KURTARMA,Hayvan Kurtarma,20.12.2024,PERILIKAYA
234,KURTARMA,Hayvan Kurtarma,14.12.2024,OSMANLI
235,KURTARMA,Hayvan Kurtarma,16.08.2024,PERILIKAYA
236,KURTARMA,Hayvan Kurtarma,31.08.2024,ÖGÜMSÖGÜT
237,KURTARMA,Hayvan Kurtarma,1.08.2024,TEKSTILKENT
238,KURTARMA,Kapalı Alanda Mahsur Kalma,21.07.2024,HACIBABA
239,KURTARMA,Trafik Kazası,21.09.2024,KÜLLÜ
240,KURTARMA,Hayvan Kurtarma,14.08.2024,BARAK
241,KURTARMA,Hayvan Kurtarma,1.03.2024,INÖNÜ
242,KURTARMA,Hayvan Kurtarma,1.03.2024,ÖGRETMENEVLERI
243,KURTARMA,Hayvan Kurtarma,27.09.2024,25 ARALIK
244,KURTARMA,Hayvan Kurtarma,21.09.2024,BOZOKLAR
245,KURTARMA,Hayvan Kurtarma,24.09.2024,BEYDILLI
246,KURTARMA,Hayvan Kurtarma,24.09.2024,PERILIKAYA
247,KURTARMA,Hayvan Kurtarma,24.09.2024,KARAYILAN
248,KURTARMA,Hayvan Kurtarma,30.09.2024,29 EKIM
249,KURTARMA,Hayvan Kurtarma,30.09.2024,TEKSTILKENT
250,KURTARMA,Hayvan Kurtarma,30.09.2024,ÖGRETMENEVLERI
251,KURTARMA,Hayvan Kurtarma,23.07.2024,25 ARALIK
252,KURTARMA,Kapalı Alanda Mahsur Kalma,27.09.2024,SEYRANTEPE
253,KURTARMA,Kapalı Alanda Mahsur Kalma,11.12.2024,FIRAT
254,KURTARMA,Kapalı Alanda Mahsur Kalma,17.06.2024,VATAN
255,KURTARMA,Diğer Kurtarmalar,30.09.2024,OSMANLI
256,KURTARMA,Diğer Kurtarmalar,21.10.2024,TASLICA
257,KURTARMA,Hayvan Kurtarma,11.11.2024,29 EKIM
258,KURTARMA,Hayvan Kurtarma,10.05.2024,HÜRRIYET
259,KURTARMA,Trafik Kazası,4.09.2024,SÜLEYMANOBASI
260,KURTARMA,Trafik Kazası,9.06.2024,KARABEY
261,KURTARMA,Kapalı Alanda Mahsur Kalma,15.11.2024,CINGIFE
262,KURTARMA,Kapalı Alanda Mahsur Kalma,1.10.2024,FEVZI ÇAKMAK
263,KURTARMA,Hayvan Kurtarma,28.09.2024,SULTAN SELIM
264,KURTARMA,Trafik Kazası,11.03.2024,HÜRRIYET
265,KURTARMA,Kapalı Alanda Mahsur Kalma,9.01.2024,KARATAS
266,KURTARMA,Asansörde Mahsur Kalma,23.01.2024,ERTUGRULGAZI
267,KURTARMA,Kapalı Alanda Mahsur Kalma,23.01.2024,BÜLBÜLZADE
268,KURTARMA,Hayvan Kurtarma,17.01.2024,15 TEMMUZ
269,KURTARMA,Diğer Kurtarmalar,11.01.2024,IBN-I SINA
270,KURTARMA,Asansörde Mahsur Kalma,19.10.2024,ERTUGRULGAZI
271,KURTARMA,Asansörde Mahsur Kalma,12.12.2024,SAHINTEPE
272,KURTARMA,Hayvan Kurtarma,17.10.2024,BURÇ ESENTEPE
273,KURTARMA,Hayvan Kurtarma,16.10.2024,BÜLBÜLZADE
274,KURTARMA,Kapalı Alanda Mahsur Kalma,16.04.2024,BÜLBÜLZADE
275,KURTARMA,İntihar,24.05.2024,FIRAT
276,KURTARMA,İntihar,18.05.2024,BEY
277,KURTARMA,Hayvan Kurtarma,18.05.2024,TEKSTILKENT
278,KURTARMA,Hayvan Kurtarma,21.05.2024,HACIBABA
279,KURTARMA,Hayvan Kurtarma,21.05.2024,KIBRIS
280,KURTARMA,Hayvan Kurtarma,24.05.2024,TEKSTILKENT
281,KURTARMA,Hayvan Kurtarma,21.05.2024,CENGIZ TOPEL
282,KURTARMA,Hayvan Kurtarma,9.05.2024,INÖNÜ
283,KURTARMA,Hayvan Kurtarma,30.04.2024,AYDINBABA
284,KURTARMA,Hayvan Kurtarma,31.08.2024,DUMLUPINAR
285,KURTARMA,Hayvan Kurtarma,29.07.2024,CENGIZ TOPEL
286,KURTARMA,Sel/Su Baskını,12.04.2024,PANCARLI
287,KURTARMA,Sel/Su Baskını,12.04.2024,KAYAÖNÜ
288,KURTARMA,Sel/Su Baskını,12.04.2024,KAYAÖNÜ
289,KURTARMA,Hayvan Kurtarma,27.05.2024,ISTIKLAL
290,KURTARMA,Hayvan Kurtarma,30.05.2024,DEGIRMIÇEM
291,KURTARMA,Hayvan Kurtarma,5.06.2024,KARACAOGLAN
292,KURTARMA,Hayvan Kurtarma,5.06.2024,GÜZELVADI
293,KURTARMA,Hayvan Kurtarma,6.06.2024,ÇIKSORUT
294,KURTARMA,Hayvan Kurtarma,5.06.2024,MALAZGIRT
295,KURTARMA,Hayvan Kurtarma,6.04.2024,DÜZTEPE
296,KURTARMA,Hayvan Kurtarma,6.04.2024,SULTAN SELIM
297,KURTARMA,Hayvan Kurtarma,22.03.2024,CENGIZ TOPEL
298,KURTARMA,Hayvan Kurtarma,22.03.2024,DEGIRMIÇEM
299,KURTARMA,Hayvan Kurtarma,25.03.2024,ALAYBEY
300,KURTARMA,Hayvan Kurtarma,25.03.2024,29 EKIM
301,KURTARMA,Hayvan Kurtarma,12.04.2024,TEKSTILKENT
302,KURTARMA,Hayvan Kurtarma,31.03.2024,PERILIKAYA
303,KURTARMA,Hayvan Kurtarma,26.06.2024,PERILIKAYA
304,KURTARMA,Hayvan Kurtarma,13.04.2024,PERILIKAYA
305,KURTARMA,Hayvan Kurtarma,10.01.2024,EYÜPSULTAN
306,KURTARMA,Kapı Açma,3.04.2024,HACIBABA
307,KURTARMA,Asansörde Mahsur Kalma,13.04.2024,SEYRANTEPE
308,KURTARMA,Diğer Kurtarmalar,31.01.2024,PERILIKAYA
309,KURTARMA,Kapalı Alanda Mahsur Kalma,2.06.2024,SERINEVLER
310,KURTARMA,Asansörde Mahsur Kalma,26.12.2024,SIRINEVLER
311,KURTARMA,İntihar,24.05.2024,FIRAT
312,KURTARMA,Diğer Kurtarmalar,16.03.2024,PERILIKAYA
313,KURTARMA,Diğer Kurtarmalar,16.03.2024,PERILIKAYA
314,KURTARMA,Diğer Kurtarmalar,15.05.2024,AYDINBABA
315,KURTARMA,Diğer Kurtarmalar,10.05.2024,PERILIKAYA
316,KURTARMA,Diğer Kurtarmalar,26.03.2024,PERILIKAYA
317,KURTARMA,Diğer Kurtarmalar,31.03.2024,PERILIKAYA
318,KURTARMA,Diğer Kurtarmalar,25.03.2024,PERILIKAYA
319,KURTARMA,Diğer Kurtarmalar,28.03.2024,SARIGÜLLÜK
320,KURTARMA,Asansörde Mahsur Kalma,19.01.2024,MALAZGIRT
321,KURTARMA,Asansörde Mahsur Kalma,30.10.2024,SACIR
322,KURTARMA,Trafik Kazası,4.02.2024,NARLITEPE
323,KURTARMA,Kapalı Alanda Mahsur Kalma,26.11.2024,BEYAZLAR
324,KURTARMA,Hayvan Kurtarma,16.02.2024,SAHINTEPE
325,KURTARMA,Kapalı Alanda Mahsur Kalma,16.02.2024,AKKENT
326,KURTARMA,Trafik Kazası,7.09.2024,AKKENT
327,KURTARMA,Trafik Kazası,7.06.2024,GÜNEYKENT
328,KURTARMA,Trafik Kazası,12.06.2024,DURANTAS
329,KURTARMA,Trafik Kazası,10.12.2024,SELÇUKLU
330,KURTARMA,Trafik Kazası,8.03.2024,YEDITEPE
331,KURTARMA,Trafik Kazası,25.05.2024,BÜLBÜLZADE
332,KURTARMA,Trafik Kazası,13.05.2024,SAHINTEPE
333,KURTARMA,Kapalı Alanda Mahsur Kalma,25.09.2024,MAVIKENT
334,KURTARMA,Kapalı Alanda Mahsur Kalma,22.09.2024,BÜLBÜLZADE
335,KURTARMA,Asansörde Mahsur Kalma,23.10.2024,YEDITEPE
336,KURTARMA,Asansörde Mahsur Kalma,20.08.2024,ERTUGRULGAZI
337,KURTARMA,Asansörde Mahsur Kalma,29.05.2024,KARATAS
338,KURTARMA,Asansörde Mahsur Kalma,15.06.2024,IBN-I SINA
339,KURTARMA,Kapalı Alanda Mahsur Kalma,23.08.2024,ABDÜLHAMID HAN
340,KURTARMA,Kapalı Alanda Mahsur Kalma,4.09.2024,YEDITEPE
341,KURTARMA,Kapalı Alanda Mahsur Kalma,22.05.2024,ERTUGRULGAZI
342,KURTARMA,Kapalı Alanda Mahsur Kalma,21.07.2024,GÜNEYKENT
343,KURTARMA,Asansörde Mahsur Kalma,14.04.2024,MAVIKENT
344,KURTARMA,Kapı Açma,7.04.2024,KARATAS
345,KURTARMA,Sel/Su Baskını,10.04.2024,YEDITEPE
346,KURTARMA,Sel/Su Baskını,10.04.2024,SAHINTEPE
347,KURTARMA,Diğer Kurtarmalar,29.09.2024,IBN-I SINA
348,KURTARMA,Diğer Kurtarmalar,28.12.2024,IBN-I SINA
349,KURTARMA,Diğer Kurtarmalar,27.12.2024,15 TEMMUZ
350,KURTARMA,Kapalı Alanda Mahsur Kalma,9.07.2024,MAVIKENT
351,KURTARMA,Kapalı Alanda Mahsur Kalma,16.06.2024,BÜLBÜLZADE
352,KURTARMA,İntihar,10.04.2024,BESTEPE
353,KURTARMA,Kapalı Alanda Mahsur Kalma,3.06.2024,BESTEPE
354,KURTARMA,Kapalı Alanda Mahsur Kalma,4.06.2024,BÜLBÜLZADE
355,KURTARMA,Diğer Kurtarmalar,22.04.2024,IBN-I SINA
356,KURTARMA,Diğer Kurtarmalar,26.03.2024,KARATAS
357,KURTARMA,Diğer Kurtarmalar,19.05.2024,IBN-I SINA
358,KURTARMA,Asansörde Mahsur Kalma,25.09.2024,BESTEPE
359,KURTARMA,Asansörde Mahsur Kalma,23.09.2024,YEDITEPE
360,KURTARMA,Asansörde Mahsur Kalma,7.09.2024,ERTUGRULGAZI
361,KURTARMA,Hayvan Kurtarma,21.06.2024,YEDITEPE
362,KURTARMA,Hayvan Kurtarma,18.06.2024,BÜLBÜLZADE
363,KURTARMA,Hayvan Kurtarma,9.07.2024,GÜNEYKENT
364,KURTARMA,Hayvan Kurtarma,24.06.2024,ERTUGRULGAZI
365,KURTARMA,Hayvan Kurtarma,30.06.2024,IBN-I SINA
366,KURTARMA,Hayvan Kurtarma,3.07.2024,KARATAS
367,KURTARMA,Hayvan Kurtarma,4.06.2024,DURANTAS
